season,label,seed,school_ncaa,opp_seed,opp_ncaa
1994,0,5,Indiana,9,Boston College
2007,0,10,Texas Tech,7,Boston College
2001,0,14,Southern Utah,3,Boston College
1994,0,8,Washington St.,9,Boston College
1994,0,1,North Carolina,9,Boston College
1985,0,15,Mercer,2,Georgia Tech
1988,0,12,Iowa St.,5,Georgia Tech
2005,0,12,George Washington,5,Georgia Tech
1985,0,7,Syracuse,2,Georgia Tech
1985,0,3,Illinois,2,Georgia Tech
1994,0,7,UAB,10,George Washington
2006,0,9,UNCW,8,George Washington
2000,0,9,DePaul,8,Kansas
1990,0,15,Robert Morris,2,Kansas
2002,0,2,UConn,1,Maryland
2002,0,4,Kentucky,1,Maryland
2002,0,5,Indiana,1,Maryland
2002,0,8,Wisconsin,1,Maryland
2002,0,16,Siena,1,Maryland
2002,0,1,Kansas,1,Maryland
2008,0,12,George Mason,5,Notre Dame
1989,0,8,Vanderbilt,9,Notre Dame
1987,0,4,TCU,5,Notre Dame
1987,0,12,Middle Tenn.,5,Notre Dame
2002,0,12,Tulsa,4,Kentucky
2011,0,5,West Virginia,4,Kentucky
2002,0,13,Valparaiso,4,Kentucky
2001,0,7,Iowa,2,Kentucky
1992,0,10,Iowa St.,2,Kentucky
2001,0,15,Holy Cross,2,Kentucky
2010,0,12,Cornell,1,Kentucky
2010,0,9,Wake Forest,1,Kentucky
2011,0,2,North Carolina,4,Kentucky
1992,0,3,Massachusetts,2,Kentucky
2011,0,13,Princeton,4,Kentucky
2011,0,1,Ohio St.,4,Kentucky
2010,0,16,ETSU,1,Kentucky
1992,0,15,Old Dominion,2,Kentucky
1995,0,12,Penn,5,Alabama
1996,0,4,Marquette,12,Arkansas
2008,0,8,Indiana,9,Arkansas
1993,0,13,Holy Cross,4,Arkansas
1993,0,5,St. John's (NY),4,Arkansas
1996,0,5,Penn St.,12,Arkansas
2003,0,2,Wake Forest,10,Auburn
2003,0,7,Saint Joseph's,10,Auburn
2008,0,10,South Ala.,7,Butler
2003,0,5,Mississippi St.,12,Butler
2013,0,11,Bucknell,6,Butler
2003,0,4,Louisville,12,Butler
1990,0,8,Indiana,9,California
1997,0,12,Princeton,5,California
1997,0,4,Villanova,5,California
2003,0,9,NC State,8,California
2013,0,5,UNLV,12,California
1993,0,6,Virginia,2,Cincinnati
2004,0,13,ETSU,4,Cincinnati
2012,0,3,Florida St.,6,Cincinnati
2012,0,11,Texas,6,Cincinnati
1999,0,14,George Mason,3,Cincinnati
1993,0,7,New Mexico St.,2,Cincinnati
1993,0,15,Coppin St.,2,Cincinnati
2010,0,4,Wisconsin,12,Cornell
2010,0,5,Temple,12,Cornell
2015,0,6,Providence,11,Dayton
2015,0,11,Boise St.,11,Dayton
1986,0,4,Oklahoma,12,DePaul
1986,0,5,Virginia,12,DePaul
1991,0,13,Penn St.,12,Eastern Mich.
1991,0,5,Mississippi St.,12,Eastern Mich.
2000,0,3,Oklahoma St.,5,Florida
2000,0,12,Butler,5,Florida
1987,0,11,NC State,6,Florida
1994,0,11,Penn,3,Florida
2000,0,4,Illinois,5,Florida
1994,0,2,UConn,3,Florida
2000,0,1,Duke,5,Florida
1994,0,14,James Madison,3,Florida
2000,0,8,North Carolina,5,Florida
1994,0,9,Boston College,3,Florida
1987,0,3,Purdue,6,Florida
2012,0,14,St. Bonaventure,3,Florida St.
2011,0,9,Villanova,8,George Mason
1985,0,14,Northeastern,3,Illinois
2000,0,13,Penn,4,Illinois
2004,0,12,Murray St.,5,Illinois
1985,0,6,Georgia,3,Illinois
2004,0,4,Cincinnati,5,Illinois
2013,0,10,Colorado,7,Illinois
2013,0,16,James Madison,1,Indiana
1994,0,4,Temple,5,Indiana
2013,0,9,Temple,1,Indiana
1994,0,12,Ohio,5,Indiana
1998,0,10,Oklahoma,7,Indiana
1992,0,7,Charlotte,10,Iowa St.
2014,0,6,North Carolina,3,Iowa St.
2014,0,14,N.C. Central,3,Iowa St.
2013,0,16,LIU Brooklyn,16,James Madison
2012,0,9,Southern Miss.,8,Kansas St.
1990,0,13,Southern Miss.,4,La Salle
2005,0,13,Louisiana,4,Louisville
2008,0,2,Tennessee,3,Louisville
2008,0,6,Oklahoma,3,Louisville
2005,0,5,Georgia Tech,4,Louisville
2005,0,1,Washington,4,Louisville
2015,0,8,NC State,4,Louisville
2003,0,13,Austin Peay,4,Louisville
2005,0,7,West Virginia,4,Louisville
1997,0,3,New Mexico,6,Louisville
2015,0,13,UC Irvine,4,Louisville
2008,0,14,Boise St.,3,Louisville
2015,0,5,UNI,4,Louisville
1997,0,11,Massachusetts,6,Louisville
1997,0,10,Texas,6,Louisville
2006,0,2,Texas,4,LSU
2006,0,1,Duke,4,LSU
2006,0,13,Iona,4,LSU
2006,0,12,Texas A&M,4,LSU
2014,0,9,George Washington,8,Memphis
1999,0,15,Lafayette,2,Miami (FL)
2013,0,7,Illinois,2,Miami (FL)
2013,0,15,Pacific,2,Miami (FL)
2008,0,16,Coppin St.,16,Mt. St. Mary's
2014,0,1,Virginia,4,Michigan St.
2014,0,12,Harvard,4,Michigan St.
2015,0,2,Virginia,7,Michigan St.
2015,0,3,Oklahoma,7,Michigan St.
2015,0,4,Louisville,7,Michigan St.
2007,0,8,Marquette,9,Michigan St.
1998,0,5,Princeton,4,Michigan St.
1998,0,13,Eastern Mich.,4,Michigan St.
2014,0,13,Delaware,4,Michigan St.
2015,0,10,Georgia,7,Michigan St.
1986,0,9,West Virginia,8,Old Dominion
1995,0,3,Villanova,14,Old Dominion
2011,0,16,UTSA,1,Ohio St.
2011,0,8,George Mason,1,Ohio St.
2012,0,7,Gonzaga,2,Ohio St.
2012,0,15,Loyola Maryland,2,Ohio St.
2012,0,6,Cincinnati,2,Ohio St.
2012,0,1,Syracuse,2,Ohio St.
2005,0,9,Pittsburgh,8,Pacific
1991,0,4,UCLA,13,Penn St.
1999,0,7,Texas,10,Purdue
1999,0,2,Miami (FL),10,Purdue
1987,0,14,Northeastern,3,Purdue
1989,0,3,Stanford,14,Siena
2002,0,16,Alcorn,16,Siena
2002,0,3,Georgia,11,Southern Ill.
2002,0,6,Texas Tech,11,Southern Ill.
1993,0,12,Texas Tech,5,St. John's (NY)
1990,0,11,Temple,6,St. John's (NY)
1995,0,8,Minnesota,9,Saint Louis
1988,0,10,Notre Dame,7,SMU
1985,0,12,Old Dominion,5,SMU
1986,0,15,Brown,2,Syracuse
2011,0,14,Indiana St.,3,Syracuse
2003,0,1,Texas,3,Syracuse
1988,0,14,N.C. A&T,3,Syracuse
1985,0,10,DePaul,7,Syracuse
1987,0,6,Providence,2,Syracuse
2013,0,13,Montana,4,Syracuse
2003,0,2,Kansas,3,Syracuse
2003,0,14,Manhattan,3,Syracuse
2003,0,6,Oklahoma St.,3,Syracuse
2003,0,1,Oklahoma,3,Syracuse
2012,0,16,UNC Asheville,1,Syracuse
2013,0,3,Marquette,4,Syracuse
2012,0,8,Kansas St.,1,Syracuse
1987,0,6,Florida,2,Syracuse
1987,0,15,Ga. Southern,2,Syracuse
2003,0,10,Auburn,3,Syracuse
2013,0,1,Indiana,4,Syracuse
1992,0,11,Princeton,6,Syracuse
1987,0,1,North Carolina,2,Syracuse
2013,0,12,California,4,Syracuse
1987,0,10,Western Ky.,2,Syracuse
2012,0,4,Wisconsin,1,Syracuse
1987,0,13,Marshall,4,TCU
1994,0,13,Drexel,4,Temple
1985,0,9,Virginia Tech,8,Temple
1991,0,7,Purdue,10,Temple
1988,0,8,Georgetown,1,Temple
1999,0,10,Purdue,6,Temple
1999,0,3,Cincinnati,6,Temple
1988,0,13,Richmond,1,Temple
2013,0,8,NC State,9,Temple
1991,0,3,Oklahoma St.,10,Temple
2000,0,15,Lafayette,2,Temple
1988,0,16,Lehigh,1,Temple
1991,0,15,Richmond,10,Temple
1999,0,11,Kent St.,6,Temple
1997,0,7,Wisconsin,10,Texas
2009,0,10,Minnesota,7,Texas
2007,0,13,New Mexico St.,4,Texas
2006,0,15,Penn,2,Texas
2006,0,6,West Virginia,2,Texas
2004,0,14,Princeton,3,Texas
2006,0,10,NC State,2,Texas
1997,0,15,Coppin St.,10,Texas
2004,0,6,North Carolina,3,Texas
2005,0,3,Gonzaga,6,Texas Tech
1996,0,14,Northern Ill.,3,Texas Tech
1996,0,6,North Carolina,3,Texas Tech
2005,0,11,UCLA,6,Texas Tech
1985,0,11,Wichita St.,6,Georgia
2002,0,14,Murray St.,3,Georgia
1998,0,8,Charlotte,1,North Carolina
1997,0,5,California,1,North Carolina
1987,0,16,Penn,1,North Carolina
2011,0,11,Marquette,2,North Carolina
1987,0,5,Notre Dame,1,North Carolina
1993,0,4,Arkansas,1,North Carolina
1991,0,12,Eastern Mich.,1,North Carolina
1997,0,9,Colorado,1,North Carolina
1994,0,16,Liberty,1,North Carolina
2007,0,16,Eastern Ky.,1,North Carolina
1998,0,16,Navy,1,North Carolina
1991,0,16,Northeastern,1,North Carolina
1987,0,9,Michigan,1,North Carolina
2007,0,9,Michigan St.,1,North Carolina
1993,0,8,Rhode Island,1,North Carolina
1997,0,6,Louisville,1,North Carolina
1993,0,2,Kansas,1,North Carolina
2011,0,15,LIU Brooklyn,2,North Carolina
1991,0,9,Villanova,1,North Carolina
2014,0,11,Providence,6,North Carolina
2011,0,7,Washington,2,North Carolina
1997,0,16,Fairfield,1,North Carolina
2007,0,5,Southern California,1,North Carolina
1998,0,2,UConn,1,North Carolina
2008,0,16,Mt. St. Mary's,1,North Carolina
1996,0,11,New Orleans,6,North Carolina
1993,0,16,East Carolina,1,North Carolina
2008,0,9,Arkansas,1,North Carolina
2008,0,3,Louisville,1,North Carolina
1993,0,1,Michigan,1,North Carolina
1991,0,10,Temple,1,North Carolina
1993,0,2,Cincinnati,1,North Carolina
2008,0,4,Washington St.,1,North Carolina
1998,0,4,Michigan St.,1,North Carolina
2004,0,11,Air Force,6,North Carolina
2015,0,12,Wyoming,5,UNI
2010,0,14,Montana,3,New Mexico
1997,0,14,Old Dominion,3,New Mexico
1996,0,10,Kansas St.,7,New Mexico
1993,0,9,Purdue,8,Rhode Island
1988,0,3,Syracuse,11,Rhode Island
1988,0,6,Missouri,11,Rhode Island
2007,0,12,Arkansas,5,Southern California
2001,0,11,Oklahoma St.,6,Southern California
2001,0,3,Boston College,6,Southern California
2001,0,2,Kentucky,6,Southern California
2007,0,4,Texas,5,Southern California
2001,0,5,Ohio St.,12,Utah St.
2015,0,15,Belmont,2,Virginia
2014,0,16,Coastal Caro.,1,Virginia
1993,0,3,Massachusetts,6,Virginia
1993,0,11,Manhattan,6,Virginia
2014,0,8,Memphis,1,Virginia
2012,0,12,Harvard,5,Vanderbilt
2007,0,3,Washington St.,6,Vanderbilt
2007,0,11,George Washington,6,Vanderbilt
2010,0,13,Wofford,4,Wisconsin
2012,0,13,Montana,4,Wisconsin
2012,0,5,Vanderbilt,4,Wisconsin
2009,0,5,Florida St.,12,Wisconsin
2002,0,9,St. John's (NY),8,Wisconsin
1987,0,7,West Virginia,10,Western Ky.
2008,0,13,Winthrop,4,Washington St.
2007,0,14,Oral Roberts,3,Washington St.
2008,0,5,Notre Dame,4,Washington St.
2011,0,12,Clemson,5,West Virginia
2005,0,10,Creighton,7,West Virginia
2010,0,15,Morgan St.,2,West Virginia
2010,0,10,Missouri,2,West Virginia
2010,0,11,Washington,2,West Virginia
2006,0,14,Northwestern St.,6,West Virginia
2005,0,2,Wake Forest,7,West Virginia
2005,0,6,Texas Tech,7,West Virginia
2006,0,11,Southern Ill.,6,West Virginia
2010,0,1,Kentucky,2,West Virginia
1989,0,10,Tennessee,7,West Virginia
2009,0,12,Wisconsin,4,Xavier
2009,0,13,Portland St.,4,Xavier
2004,0,10,Louisville,7,Xavier
2004,0,2,Mississippi St.,7,Xavier
2004,0,3,Texas,7,Xavier
1998,0,9,Ill.-Chicago,8,Charlotte
2011,0,12,UAB,12,Clemson
1990,0,4,La Salle,5,Clemson
1990,0,12,BYU,5,Clemson
1986,0,3,Indiana,14,Cleveland St.
1986,0,6,Saint Joseph's,14,Cleveland St.
1997,0,8,Indiana,9,Colorado
2014,0,8,Kentucky,7,UConn
2014,0,1,Florida,7,UConn
2014,0,2,Villanova,7,UConn
1994,0,10,George Washington,2,UConn
2014,0,4,Michigan St.,7,UConn
2002,0,15,Hampton,2,UConn
1990,0,9,California,1,UConn
1998,0,15,Fairleigh Dickinson,2,UConn
1990,0,5,Clemson,1,UConn
1998,0,11,Washington,2,UConn
2014,0,3,Iowa St.,7,UConn
2002,0,11,Southern Ill.,2,UConn
1998,0,7,Indiana,2,UConn
2014,0,10,Saint Joseph's,7,UConn
1994,0,15,Rider,2,UConn
2002,0,7,NC State,2,UConn
1990,0,16,Boston U.,1,UConn
1997,0,2,South Carolina,15,Coppin St.
1989,0,15,South Carolina St.,2,Duke
1999,0,9,Tulsa,1,Duke
1999,0,16,Florida A&M,1,Duke
1989,0,1,Georgetown,2,Duke
1988,0,15,Boston U.,2,Duke
2001,0,9,Missouri,1,Duke
1999,0,1,Michigan St.,1,Duke
1990,0,6,St. John's (NY),3,Duke
2001,0,3,Maryland,1,Duke
1999,0,12,Missouri St.,1,Duke
1988,0,11,Rhode Island,2,Duke
1992,0,16,Campbell,1,Duke
1990,0,7,UCLA,3,Duke
2006,0,16,Southern U.,1,Duke
1989,0,11,Minnesota,2,Duke
1990,0,4,Arkansas,3,Duke
1986,0,7,Navy,1,Duke
2001,0,6,Southern California,1,Duke
2001,0,4,UCLA,1,Duke
2000,0,16,Lamar University,1,Duke
2006,0,8,George Washington,1,Duke
2001,0,16,Monmouth,1,Duke
2004,0,5,Illinois,1,Duke
1986,0,16,Mississippi Val.,1,Duke
1989,0,7,West Virginia,2,Duke
2004,0,7,Xavier,1,Duke
1990,0,14,Richmond,3,Duke
1986,0,8,Old Dominion,1,Duke
1992,0,4,Seton Hall,1,Duke
1992,0,6,Michigan,1,Duke
1986,0,1,Kansas,1,Duke
2001,0,2,Arizona,1,Duke
1988,0,1,Temple,2,Duke
1988,0,7,SMU,2,Duke
2000,0,8,Kansas,1,Duke
1990,0,1,UConn,3,Duke
2009,0,15,Binghamton,2,Duke
1992,0,2,Kentucky,1,Duke
1986,0,12,DePaul,1,Duke
1992,0,2,Indiana,1,Duke
1992,0,9,Iowa,1,Duke
2004,0,8,Seton Hall,1,Duke
2009,0,7,Texas,2,Duke
1999,0,6,Temple,1,Duke
2004,0,16,Alabama St.,1,Duke
2012,0,10,West Virginia,7,Gonzaga
2005,0,14,Winthrop,3,Gonzaga
1996,0,3,Texas Tech,2,Georgetown
1989,0,16,Princeton,1,Georgetown
1985,0,16,Lehigh,1,Georgetown
1989,0,5,NC State,1,Georgetown
1985,0,2,Georgia Tech,1,Georgetown
1988,0,9,LSU,8,Georgetown
2007,0,1,North Carolina,2,Georgetown
1985,0,8,Temple,1,Georgetown
2007,0,7,Boston College,2,Georgetown
1996,0,15,Mississippi Val.,2,Georgetown
1985,0,1,St. John's (NY),1,Georgetown
1989,0,9,Notre Dame,1,Georgetown
1985,0,4,Loyola Chicago,1,Georgetown
2007,0,15,Belmont,2,Georgetown
1996,0,7,New Mexico,2,Georgetown
2007,0,6,Vanderbilt,2,Georgetown
2004,0,9,Arizona,8,Seton Hall
1992,0,5,Missouri,4,Seton Hall
2000,0,2,Temple,10,Seton Hall
2000,0,7,Oregon,10,Seton Hall
1992,0,13,La Salle,4,Seton Hall
2014,0,5,Cincinnati,12,Harvard
2001,0,10,Creighton,7,Iowa
1992,0,8,Texas,9,Iowa
1989,0,13,Rutgers,4,Iowa
1986,0,11,Richmond,6,Saint Joseph's
1985,0,5,SMU,4,Loyola Chicago
1985,0,13,Iona,4,Loyola Chicago
2011,0,6,Xavier,11,Marquette
2013,0,2,Miami (FL),3,Marquette
2013,0,14,Davidson,3,Marquette
2013,0,6,Butler,3,Marquette
2011,0,3,Syracuse,11,Marquette
1996,0,13,Monmouth,4,Marquette
1996,0,2,Georgetown,1,Massachusetts
1993,0,14,Penn,3,Massachusetts
1995,0,15,Saint Peter's,2,Massachusetts
1995,0,6,Tulsa,2,Massachusetts
1996,0,16,UCF,1,Massachusetts
1996,0,9,Stanford,1,Massachusetts
1992,0,14,Fordham,3,Massachusetts
1995,0,10,Stanford,2,Massachusetts
1992,0,6,Syracuse,3,Massachusetts
1996,0,12,Arkansas,1,Massachusetts
1987,0,8,Navy,9,Michigan
1989,0,14,Siena,11,Minnesota
1989,0,6,Kansas St.,11,Minnesota
2010,0,7,Clemson,10,Missouri
1992,0,12,West Virginia,5,Missouri
2001,0,8,Georgia,9,Missouri
